grid,m,dt,seed,epoch,gamma,sV
knee,20,5,133,58,5.0,2.0
knee,20,5,133,59,5.0,5.0
knee,20,5,133,60,5.0,2.0
knee,20,5,133,61,5.0,4.0
knee,20,5,133,62,5.0,2.0
knee,20,5,133,63,5.0,2.0
knee,20,5,133,64,5.0,2.0
knee,20,5,133,65,5.0,0.0
knee,20,5,133,66,5.0,0.0
knee,20,5,133,67,5.0,2.0
knee,20,5,133,68,5.0,2.0
knee,20,5,133,69,5.0,3.0
knee,20,5,133,70,5.0,1.0
knee,20,5,133,71,5.0,2.0
knee,20,5,133,72,5.0,2.0
knee,20,5,133,73,5.0,1.0
knee,20,5,133,74,5.0,2.0
knee,20,5,133,75,5.0,1.0
knee,20,5,133,76,5.0,1.0
knee,20,5,133,77,5.0,2.0
knee,20,5,133,78,5.0,1.0
knee,20,5,133,79,5.0,1.0
knee,20,5,133,80,5.0,1.0
knee,20,5,133,81,5.0,1.0
knee,20,5,133,82,5.0,1.0
knee,20,5,133,83,5.0,3.0
knee,20,5,133,84,5.0,3.0
knee,20,5,133,85,5.0,2.0
knee,20,5,133,86,5.0,0.0
knee,20,5,133,87,5.0,4.0
knee,20,5,133,88,5.0,1.0
knee,20,5,133,89,5.0,2.0
knee,20,5,133,90,5.0,0.0
knee,20,5,133,91,5.0,1.0
knee,20,5,133,92,5.0,0.0
knee,20,5,133,93,5.0,0.0
knee,20,5,133,94,5.0,1.0
knee,20,5,133,95,5.0,0.0
knee,20,5,133,96,5.0,0.0
knee,20,5,133,97,5.0,0.0
knee,20,5,133,98,5.0,0.0
knee,20,5,133,99,5.0,0.0
knee,20,5,133,100,5.0,1.0
knee,20,5,134,50,6.0,0.0
knee,20,5,134,51,6.0,1.0
knee,20,5,134,52,6.0,0.0
knee,20,5,134,53,6.0,0.0
knee,20,5,134,54,6.0,6.0
knee,20,5,134,55,6.0,3.0
knee,20,5,134,56,6.0,1.0
knee,20,5,134,57,6.0,1.0
knee,20,5,134,58,6.0,0.0
knee,20,5,134,59,6.0,2.0
knee,20,5,134,60,6.0,0.0
knee,20,5,134,61,6.0,0.0
knee,20,5,134,62,6.0,1.0
knee,20,5,134,63,6.0,0.0
knee,20,5,134,64,6.0,1.0
knee,20,5,134,65,6.0,1.0
knee,20,5,134,66,6.0,0.0
knee,20,5,134,67,6.0,1.0
knee,20,5,134,68,6.0,1.0
knee,20,5,134,69,6.0,1.0
knee,20,5,134,70,6.0,2.0
knee,20,5,134,71,6.0,0.0
knee,20,5,134,72,6.0,1.0
knee,20,5,134,73,6.0,0.0
knee,20,5,134,74,6.0,1.0
knee,20,5,134,75,6.0,1.0
knee,20,5,134,76,6.0,2.0
knee,20,5,134,77,6.0,1.0
knee,20,5,134,78,6.0,0.0
knee,20,5,134,79,6.0,1.0
knee,20,5,134,80,6.0,0.0
knee,20,5,134,81,6.0,1.0
knee,20,5,134,82,6.0,1.0
knee,20,5,134,83,6.0,1.0
knee,20,5,134,84,6.0,0.0
knee,20,5,134,85,6.0,0.0
knee,20,5,134,86,6.0,1.0
knee,20,5,134,87,6.0,1.0
knee,20,5,134,88,6.0,0.0
knee,20,5,134,89,6.0,1.0
knee,20,5,134,90,6.0,1.0
knee,20,5,134,91,6.0,0.0
knee,20,5,134,92,6.0,0.0
knee,20,5,134,93,6.0,2.0
knee,20,5,134,94,6.0,0.0
knee,20,5,134,95,6.0,1.0
knee,20,5,134,96,6.0,1.0
knee,20,5,134,97,6.0,0.0
knee,20,5,134,98,6.0,1.0
knee,20,5,134,99,6.0,0.0
knee,20,5,134,100,6.0,1.0
knee,20,5,135,50,15.0,15.0
knee,20,5,135,51,14.0,9.0
knee,20,5,135,52,14.0,4.0
knee,20,5,135,53,20.0,3.0
knee,20,5,135,54,19.0,0.0
knee,20,5,135,55,19.0,0.0
knee,20,5,135,56,22.0,0.0
knee,20,5,135,57,22.0,9.0
knee,20,5,135,58,22.0,10.0
knee,20,5,135,59,23.0,10.0
knee,20,5,135,60,19.0,3.0
knee,20,5,135,61,19.0,2.0
knee,20,5,135,62,19.0,3.0
knee,20,5,135,63,20.0,13.0
knee,20,5,135,64,20.0,3.0
knee,20,5,135,65,22.0,1.0
knee,20,5,135,66,22.0,5.0
knee,20,5,135,67,22.0,4.0
