arm,mbar,dt,seed,epoch,tag_pop,pop_trig,n_tagged,removed,gamma
chronic,16,0,150,89,33,39,6,6,5.0
chronic,16,0,150,90,35,41,6,6,5.0
chronic,16,0,150,91,35,41,6,6,5.0
chronic,16,0,150,92,35,41,6,6,5.0
chronic,16,0,150,93,35,41,6,6,5.0
chronic,16,0,150,94,35,43,8,8,5.0
chronic,16,0,150,95,37,43,8,8,5.0
chronic,16,0,150,96,37,45,8,8,5.0
chronic,16,0,150,97,35,43,8,8,5.0
chronic,16,0,150,98,35,41,6,6,5.0
chronic,16,0,150,99,35,41,6,6,5.0
chronic,16,0,150,100,35,41,6,6,5.0
chronic,26,0,141,50,7,9,2,2,10.0
chronic,26,0,141,51,7,9,2,2,10.0
chronic,26,0,141,52,13,15,2,2,10.0
chronic,26,0,141,53,15,17,2,2,10.0
chronic,26,0,141,54,21,25,4,4,10.0
chronic,26,0,141,55,25,31,6,6,10.0
chronic,26,0,141,56,31,35,6,6,10.0
chronic,26,0,141,57,31,37,6,6,10.0
chronic,26,0,141,58,37,45,8,8,10.0
chronic,26,0,141,59,47,53,8,8,10.0
chronic,26,0,141,60,47,57,10,10,10.0
chronic,26,0,141,61,49,59,10,10,12.0
chronic,26,0,141,62,55,63,10,10,12.0
chronic,26,0,141,63,59,69,12,12,12.0
chronic,26,0,141,64,59,69,12,12,12.0
chronic,26,0,141,65,63,73,12,12,12.0
chronic,26,0,141,66,61,73,12,12,12.0
chronic,26,0,141,67,65,79,14,14,12.0
chronic,26,0,141,68,71,85,14,14,12.0
chronic,26,0,141,69,77,79,14,14,12.0
chronic,26,0,141,70,79,93,16,16,12.0
chronic,26,0,141,71,81,93,16,16,12.0
chronic,26,0,141,72,81,95,16,16,12.0
chronic,26,0,141,73,81,97,16,16,12.0
chronic,26,0,141,74,77,93,16,16,12.0
chronic,26,0,141,75,81,95,16,16,12.0
chronic,26,0,141,76,77,93,16,16,12.0
chronic,26,0,141,77,79,93,16,16,12.0
chronic,26,0,141,78,81,93,16,16,12.0
chronic,26,0,141,79,77,93,16,16,12.0
chronic,26,0,141,80,75,89,14,14,12.0
chronic,26,0,141,81,77,93,16,16,12.0
chronic,26,0,141,82,77,93,16,16,12.0
chronic,26,0,141,83,83,97,16,16,12.0
chronic,26,0,141,84,79,95,16,16,12.0
chronic,26,0,141,85,77,93,16,16,12.0
chronic,26,0,141,86,77,87,14,14,12.0
chronic,26,0,141,87,73,85,14,14,12.0
chronic,26,0,141,88,73,87,14,14,10.0
chronic,26,0,141,89,71,85,14,14,10.0
chronic,26,0,141,90,69,77,12,12,10.0
chronic,26,0,141,91,71,83,14,14,10.0
chronic,26,0,141,92,71,85,14,14,10.0
chronic,26,0,141,93,65,79,14,14,10.0
chronic,26,0,141,94,65,75,12,12,10.0
chronic,26,0,141,95,67,79,14,14,10.0
chronic,26,0,141,96,71,81,14,14,10.0
chronic,26,0,141,97,71,83,14,14,10.0
chronic,26,0,141,98,73,87,14,14,10.0
chronic,26,0,141,99,75,89,14,14,10.0
chronic,26,0,141,100,69,83,14,14,10.0
chronic,26,0,142,50,7,9,2,2,16.0
chronic,26,0,142,51,17,21,4,4,15.0
chronic,26,0,142,52,39,47,8,8,15.0
chronic,26,0,142,53,61,69,12,12,15.0
chronic,26,0,142,54,77,91,16,16,15.0
chronic,26,0,142,55,89,107,18,18,15.0
chronic,26,0,142,56,89,101,16,16,15.0
chronic,26,0,142,57,101,111,18,18,15.0
chronic,26,0,142,58,101,115,20,20,15.0
chronic,26,0,142,59,97,117,20,20,15.0
chronic,26,0,142,60,91,107,18,18,16.0
chronic,26,0,142,61,95,109,18,18,15.0
chronic,26,0,142,62,99,113,18,18,15.0
chronic,26,0,142,63,97,111,18,18,15.0
chronic,26,0,142,64,89,105,18,18,15.0
chronic,26,0,142,65,93,107,18,18,18.0
chronic,26,0,142,66,89,107,18,18,10.0
chronic,26,0,142,67,83,91,16,16,10.0
chronic,26,0,142,68,89,99,16,16,10.0
chronic,26,0,142,69,85,101,16,16,10.0
chronic,26,0,142,70,79,93,16,16,10.0
chronic,26,0,142,71,79,87,14,14,10.0
chronic,26,0,142,72,73,87,14,14,10.0
chronic,26,0,142,73,73,85,14,14,10.0
chronic,26,0,142,74,69,83,14,14,14.0
chronic,26,0,142,75,67,75,12,12,14.0
chronic,26,0,142,76,65,75,12,12,14.0
chronic,26,0,142,77,69,79,14,14,14.0
chronic,26,0,142,78,67,81,14,14,14.0
chronic,26,0,142,79,67,81,14,14,14.0
chronic,26,0,142,80,71,81,14,14,14.0
chronic,26,0,142,81,75,87,14,14,14.0
chronic,26,0,142,82,77,89,14,14,14.0
chronic,26,0,142,83,75,89,14,14,14.0
chronic,26,0,142,84,75,87,14,14,14.0
chronic,26,0,142,85,79,95,16,16,14.0
chronic,26,0,142,86,79,95,16,16,14.0
chronic,26,0,142,87,79,93,16,16,16.0
chronic,26,0,142,88,85,97,16,16,16.0
chronic,26,0,142,89,89,101,16,16,14.0
chronic,26,0,142,90,91,109,18,18,14.0
chronic,26,0,142,91,95,107,18,18,14.0
chronic,26,0,142,92,89,105,18,18,14.0
chronic,26,0,142,93,89,105,18,18,14.0
chronic,26,0,142,94,83,99,16,16,14.0
chronic,26,0,142,95,79,95,16,16,14.0
chronic,26,0,142,96,83,93,16,16,14.0
chronic,26,0,142,97,89,101,16,16,14.0
chronic,26,0,142,98,93,109,18,18,14.0
chronic,26,0,142,99,91,109,18,18,16.0
chronic,26,0,142,100,93,107,18,18,16.0
chronic,26,0,143,50,7,9,2,2,6.0
chronic,26,0,143,51,9,11,2,2,6.0
chronic,26,0,143,52,15,17,2,2,6.0
chronic,26,0,143,53,19,23,4,4,5.0
chronic,26,0,143,54,25,29,4,4,5.0
chronic,26,0,143,55,27,29,4,4,5.0
chronic,26,0,143,56,31,37,6,6,5.0
chronic,26,0,143,57,35,41,6,6,5.0
chronic,26,0,143,58,39,45,8,8,5.0
chronic,26,0,143,59,43,49,8,8,5.0
chronic,26,0,143,60,45,51,8,8,5.0
chronic,26,0,143,61,45,55,10,10,5.0
chronic,26,0,143,62,45,53,8,8,5.0
chronic,26,0,143,63,45,55,10,10,5.0
chronic,26,0,143,64,45,55,10,10,5.0
chronic,26,0,143,65,47,55,10,10,5.0
chronic,26,0,143,66,45,55,10,10,5.0
chronic,26,0,143,67,47,55,10,10,5.0
chronic,26,0,143,68,47,57,10,10,5.0
chronic,26,0,143,69,51,57,10,10,5.0
chronic,26,0,143,70,49,59,10,10,5.0
chronic,26,0,143,71,49,57,10,10,5.0
chronic,26,0,143,72,47,57,10,10,5.0
chronic,26,0,143,73,51,61,10,10,8.0
chronic,26,0,143,74,59,65,10,10,8.0
chronic,26,0,143,75,61,73,12,12,8.0
chronic,26,0,143,76,69,83,14,14,12.0
chronic,26,0,143,77,73,87,14,14,12.0
chronic,26,0,143,78,81,95,16,16,11.0
chronic,26,0,143,79,85,101,16,16,11.0
chronic,26,0,143,80,89,105,18,18,11.0
chronic,26,0,143,81,91,109,18,18,11.0
chronic,26,0,143,82,91,109,18,18,11.0
chronic,26,0,143,83,99,111,18,18,11.0
chronic,26,0,143,84,103,119,20,20,11.0
chronic,26,0,143,85,109,121,20,20,11.0
chronic,26,0,143,86,109,129,22,22,11.0
chronic,26,0,143,87,113,131,22,22,11.0
chronic,26,0,143,88,111,131,22,22,11.0
chronic,26,0,143,89,107,129,22,22,11.0
chronic,26,0,143,90,107,129,22,22,11.0
chronic,26,0,143,91,109,127,22,22,11.0
chronic,26,0,143,92,109,129,22,22,11.0
chronic,26,0,143,93,111,129,22,22,11.0
chronic,26,0,143,94,109,131,22,22,11.0
chronic,26,0,143,95,109,129,22,22,11.0
chronic,26,0,143,96,111,131,22,22,11.0
chronic,26,0,143,97,111,131,22,22,11.0
chronic,26,0,143,98,109,131,22,22,11.0
chronic,26,0,143,99,109,131,22,22,11.0
chronic,26,0,143,100,109,131,22,22,11.0
chronic,26,0,144,50,7,9,2,2,23.0
chronic,26,0,144,51,17,21,4,4,22.0
chronic,26,0,144,52,35,41,6,6,20.0
chronic,26,0,144,53,53,63,10,10,20.0
chronic,26,0,144,54,77,93,16,16,21.0
chronic,26,0,144,55,97,113,18,18,22.0
chronic,26,0,144,56,123,135,22,22,22.0
chronic,26,0,144,58,167,199,34,34,21.0
chronic,26,0,144,60,203,233,38,38,21.0
chronic,26,0,144,62,223,261,44,44,21.0
chronic,26,0,144,64,249,295,50,50,22.0
chronic,26,0,144,67,307,367,62,62,21.0
chronic,26,0,144,70,371,435,72,72,22.0
chronic,26,0,144,73,433,491,82,82,22.0
chronic,26,0,144,75,461,505,84,84,22.0
chronic,26,0,144,77,439,521,86,86,23.0
chronic,26,0,144,79,423,501,84,84,22.0
chronic,26,0,144,81,411,493,82,82,22.0
chronic,26,0,144,85,501,591,98,98,23.0
chronic,26,0,144,87,499,581,96,96,23.0
chronic,26,0,144,88,461,523,88,88,23.0
chronic,26,0,144,90,431,509,84,84,23.0
chronic,26,0,144,92,427,495,82,82,23.0
chronic,26,0,145,50,7,9,2,2,17.0
chronic,26,0,145,51,19,21,4,4,20.0
chronic,26,0,145,52,51,55,10,10,19.0
chronic,26,0,145,53,75,89,14,14,19.0
chronic,26,0,145,54,97,113,18,18,19.0
chronic,26,0,145,55,115,135,22,22,19.0
chronic,26,0,145,57,159,191,32,32,19.0
chronic,26,0,145,58,161,177,30,30,19.0
chronic,26,0,145,60,187,215,36,36,27.0
chronic,26,0,145,72,739,843,140,140,34.0
chronic,26,0,145,74,731,827,138,138,34.0
chronic,26,0,145,84,1227,1357,226,226,39.0
chronic,26,0,145,86,1155,1327,210,210,40.0
chronic,26,0,145,88,1077,1247,194,194,34.0
chronic,26,0,146,50,7,9,2,2,20.0
chronic,26,0,146,51,17,21,4,4,20.0
chronic,26,0,146,52,43,51,8,8,27.0
chronic,26,0,146,53,67,81,14,14,19.0
chronic,26,0,146,54,89,105,18,18,19.0
chronic,26,0,146,55,109,129,22,22,20.0
chronic,26,0,146,56,127,147,24,24,19.0
chronic,26,0,146,58,171,193,32,32,20.0
chronic,26,0,146,60,197,211,36,36,20.0
chronic,26,0,146,63,271,315,52,52,27.0
chronic,26,0,146,68,423,487,82,82,24.0
chronic,26,0,146,70,427,483,80,80,24.0
chronic,26,0,146,72,415,495,82,82,27.0
chronic,26,0,146,74,397,473,78,78,18.0
chronic,26,0,146,76,387,459,76,76,18.0
chronic,26,0,146,78,391,459,76,76,18.0
chronic,26,0,146,80,385,461,76,76,18.0
chronic,26,0,146,81,357,401,66,66,18.0
chronic,26,0,146,82,345,383,64,64,18.0
chronic,26,0,146,83,299,355,60,60,18.0
chronic,26,0,146,84,263,311,52,52,18.0
chronic,26,0,146,85,239,283,48,48,18.0
chronic,26,0,146,87,245,285,48,48,18.0
chronic,26,0,146,89,259,303,50,50,18.0
chronic,26,0,146,91,267,321,54,54,18.0
chronic,26,0,146,93,281,337,56,56,18.0
chronic,26,0,146,95,297,353,58,58,18.0
chronic,26,0,146,97,309,369,62,62,18.0
chronic,26,0,146,99,319,381,64,64,18.0
chronic,26,0,147,50,7,9,2,2,15.0
chronic,26,0,147,51,17,21,4,4,15.0
chronic,26,0,147,52,35,43,8,8,15.0
chronic,26,0,147,53,55,65,10,10,15.0
chronic,26,0,147,54,75,85,14,14,15.0
chronic,26,0,147,55,87,105,18,18,15.0
chronic,26,0,147,56,93,99,16,16,15.0
chronic,26,0,147,57,97,109,18,18,15.0
chronic,26,0,147,58,101,115,20,20,15.0
chronic,26,0,147,59,99,117,20,20,15.0
chronic,26,0,147,60,107,125,20,20,15.0
chronic,26,0,147,61,109,127,22,22,15.0
chronic,26,0,147,62,105,127,22,22,17.0
chronic,26,0,147,63,111,131,22,22,18.0
chronic,26,0,147,64,115,133,22,22,16.0
chronic,26,0,147,65,121,137,22,22,16.0
chronic,26,0,147,66,125,145,24,24,17.0
chronic,26,0,147,68,145,163,28,28,17.0
chronic,26,0,147,69,145,161,26,26,17.0
chronic,26,0,147,70,129,153,26,26,17.0
chronic,26,0,147,71,121,143,24,24,17.0
chronic,26,0,147,72,107,127,22,22,17.0
chronic,26,0,147,73,105,121,20,20,20.0
chronic,26,0,147,74,107,121,20,20,17.0
chronic,26,0,147,75,107,127,22,22,17.0
chronic,26,0,147,77,141,165,28,28,17.0
