arm,mbar,dt,seed,epoch,tag_pop,n_tagged,removed,gamma
chronic,26,0,148,98,309,62,62,23.0
chronic,26,0,148,100,303,58,58,25.0
chronic,26,0,149,50,7,2,2,9.0
chronic,26,0,149,51,17,4,4,9.0
chronic,26,0,149,52,29,6,6,9.0
chronic,26,0,149,53,39,8,8,9.0
chronic,26,0,149,54,43,8,8,9.0
chronic,26,0,149,55,51,10,10,9.0
chronic,26,0,149,56,57,12,12,9.0
chronic,26,0,149,57,61,12,12,9.0
chronic,26,0,149,58,65,12,12,9.0
chronic,26,0,149,59,69,14,14,9.0
chronic,26,0,149,60,73,14,14,9.0
chronic,26,0,149,61,77,16,16,9.0
chronic,26,0,149,62,79,16,16,9.0
chronic,26,0,149,63,81,16,16,10.0
chronic,26,0,149,64,87,16,16,10.0
chronic,26,0,149,65,91,18,18,10.0
chronic,26,0,149,66,91,18,18,10.0
chronic,26,0,149,67,85,16,16,9.0
chronic,26,0,149,68,83,16,16,9.0
chronic,26,0,149,69,93,18,18,12.0
chronic,26,0,149,70,95,20,20,12.0
chronic,26,0,149,71,99,20,20,12.0
chronic,26,0,149,72,99,20,20,12.0
chronic,26,0,149,73,101,20,20,12.0
chronic,26,0,149,74,109,20,20,12.0
chronic,26,0,149,75,109,22,22,12.0
chronic,26,0,149,76,115,20,20,10.0
chronic,26,0,149,77,111,20,20,10.0
chronic,26,0,149,78,109,22,22,11.0
chronic,26,0,149,79,107,22,22,13.0
chronic,26,0,149,80,111,22,22,13.0
chronic,26,0,149,81,115,22,22,13.0
chronic,26,0,149,82,115,24,24,13.0
chronic,26,0,149,83,117,22,22,13.0
chronic,26,0,149,84,115,22,22,12.0
chronic,26,0,149,85,115,24,24,12.0
chronic,26,0,149,86,115,24,24,12.0
chronic,26,0,149,87,121,22,22,12.0
chronic,26,0,149,88,123,24,24,13.0
chronic,26,0,149,89,125,24,24,13.0
chronic,26,0,149,90,125,24,24,13.0
chronic,26,0,149,91,129,24,24,13.0
chronic,26,0,149,92,131,26,26,12.0
chronic,26,0,149,93,131,26,26,12.0
chronic,26,0,149,94,133,26,26,12.0
chronic,26,0,149,95,131,26,26,12.0
chronic,26,0,149,96,123,24,24,12.0
chronic,26,0,149,97,113,22,22,11.0
chronic,26,0,149,98,107,22,22,11.0
chronic,26,0,149,99,101,20,20,11.0
chronic,26,0,149,100,93,18,18,11.0
chronic,26,0,150,50,7,2,2,5.0
chronic,26,0,150,51,15,2,2,5.0
chronic,26,0,150,52,21,4,4,5.0
chronic,26,0,150,53,25,6,6,5.0
chronic,26,0,150,54,27,6,6,5.0
chronic,26,0,150,55,29,6,6,5.0
chronic,26,0,150,56,31,6,6,5.0
chronic,26,0,150,57,27,6,6,5.0
chronic,26,0,150,58,27,6,6,5.0
chronic,26,0,150,59,31,6,6,5.0
chronic,26,0,150,60,33,6,6,5.0
chronic,26,0,150,61,33,6,6,5.0
chronic,26,0,150,62,35,6,6,5.0
